image,link,title,podcaster
https://i.scdn.co/image/ab67656300005f1f1f0c9d463f5dab83d4860676,https://open.spotify.com/show/2IIEs49bHU4aJnwOr3sTrl,einemillionsatoshi - der Bitcoin Podcast,Eva Brauckmann
https://i.scdn.co/image/ab67656300005f1fdd08afa54ff6f8ed7448c207,https://open.spotify.com/show/0y1s3Bwzn8BId075O4UYFQ,Bitcoin Economics,bitcoineconomics
https://i.scdn.co/image/ab67656300005f1fae439e863d5168a6e1294208,https://open.spotify.com/show/4bzSDmqza7nqyed4znSXzz,Access Tribe's Bitcoin Podcast,Access Tribe Bitcoin
https://i.scdn.co/image/ab67656300005f1f3b0bfa4096c4fa36847c4e61,https://open.spotify.com/show/1dsTluNHIPNsXVRghpqxhY,Bitcoin And . . .,David Bennett
https://i.scdn.co/image/ab67656300005f1f19206da47e5833c33bdacd68,https://open.spotify.com/show/0r8YGipHFyuom138lZhTAB,La Sauce Bitcoin,La Sauce Bitcoin par Maciej Cepnik
https://i.scdn.co/image/ab67656300005f1f5caa2ec01c8311eb1d0bce52,https://open.spotify.com/show/3SYtn2ILi8z9gruo7G64N2,Bitcoin Päiväkirja,Bitcoin Päiväkirja
https://i.scdn.co/image/ab67656300005f1f9bf76a5becb0dec53676dff7,https://open.spotify.com/show/2Na6jtvpUoeoJgoBLubJch,Bitcoin Lady,Bitcoin Lady
https://i.scdn.co/image/ab67656300005f1f2712ce721ecd2a8dd01bbb1f,https://open.spotify.com/show/2R9ypQf38jKV5QbYIIeZaV,Citizen Bitcoin,Citizen Bitcoin Podcast
https://i.scdn.co/image/ab67656300005f1f5c53aa11b54fd47facd3b960,https://open.spotify.com/show/5tP26gJxpWl8dfVy3SbmuG,Bitcoin.com Weekly Update Podcast,Bitcoin.com Weekly Update Podcast
https://i.scdn.co/image/ab67656300005f1ff2d27b799df1b44a3d0ea79c,https://open.spotify.com/show/06BdZid57RlCgBNsgr703A,Relai Bitcoin Podcast,Relai
https://i.scdn.co/image/ab67656300005f1f6d9345320e842fc7e376979f,https://open.spotify.com/show/6r6NwbzxBL8wnuIuqBA3ED,Robin Seyr,Robin Seyr
https://i.scdn.co/image/ab67656300005f1fcaf2415b9e4521933b876880,https://open.spotify.com/show/5GspjWGumD0MNtfx29fdjz,Planeta Bitcoin,Planeta bitcoin
https://i.scdn.co/image/ab67656300005f1f00d179c7bbf2630abf1fa7b1,https://open.spotify.com/show/6ogikA1BhQzS3BHm2TWMbC,The Bitcoin Ben Show,Bitcoin Ben
https://i.scdn.co/image/ab67656300005f1f5f76fb2cb83c8da58cbd7802,https://open.spotify.com/show/64tabOhRm5cb5XSBZCVu4e,The Bitcoin Source: A Bitcoin Conversation,The Bitcoin Source
https://i.scdn.co/image/ab67656300005f1f9ce3f23764c583b4350adaa2,https://open.spotify.com/show/5j6aflGVkR7PIrbZLEeZur,Le Mardi Crypto - Bitcoin et Crypto-actifs,Le Mardi Crypto - Bitcoin et Crypto-actifs
https://i.scdn.co/image/ab67656300005f1fcc7b49cb1d26bd7b43e9657e,https://open.spotify.com/show/4eN1ZlaHSV2JHiv02iaICN,99Bitcoins,99Bitcoins
https://i.scdn.co/image/ab67656300005f1fbc4f2faef7c9f6c8f4aa83a8,https://open.spotify.com/show/5AxNilrjMO0Vv3m5u2BbnG,The Bitcoin Knowledge Podcast,Trace Mayer
https://i.scdn.co/image/ab67656300005f1f72d8202f91ca9a469e134b26,https://open.spotify.com/show/4aDhkccjHzEI8pCd7qwc2m,Territorio Bitcoin,Territorio Bitcoin
https://i.scdn.co/image/ab67656300005f1f90acfd387bcf14560afa0170,https://open.spotify.com/show/2BrZJmqxI3EsmOcg8PVcmS,Australian Bitcoin Podcast,HardBlock
https://i.scdn.co/image/ab67656300005f1fdc2d7dd220354f5fba139184,https://open.spotify.com/show/6EgqEG0RvLn7c9T4pTEbf4,"The Zen Crypto Show - Learn Bitcoin, Ethereum, NFTs, web 3 and how to invest in crypto",Zengo Crypto Wallet
https://i.scdn.co/image/ab67656300005f1fecf4284a384900e8d86bcae0,https://open.spotify.com/show/05zG8uhzaUQa8iQ7F8sdcE,Bitcoin para todxs,Bitcoin para todos
https://i.scdn.co/image/ab67656300005f1f41af18c5c9d5d7673e39a0ee,https://open.spotify.com/show/5fGtjPQt92RF9ygxz2A5iq,Humans of Bitcoin,Bitcoin.com Podcast Network
https://i.scdn.co/image/ab67656300005f1ffd8f440391a83ea7f10f9427,https://open.spotify.com/show/01N17Oi7sRZM4vYGiTO6uk,The Bitcoin Cash Podcast,Jeremy
https://i.scdn.co/image/ab67656300005f1fb268dde18359a09e9a335628,https://open.spotify.com/show/1Eu3P9ATow5ODEya1NTSEA,Bitcoin Byltingin,Bitcoin Byltingin
https://i.scdn.co/image/ab67656300005f1fd9c819235ed201b6280345f7,https://open.spotify.com/show/6V506BUoAKRIVAyadinIUN,What Is Bitcoin?,Gary Leland
https://i.scdn.co/image/ab67656300005f1f1b1654148cb5f54c76e11bde,https://open.spotify.com/show/7MmMUCF0cGY3KWNxNz8mCC,Bitcoin Made Simple Podcast,BMS Podcast Network
https://i.scdn.co/image/ab67656300005f1f7d50a72e0319317506255420,https://open.spotify.com/show/7ahkWL5AW6TjOchvSwUZK7,Explica Bitcoin,Leta
https://i.scdn.co/image/ab67656300005f1ff9c40c6cd1807be3818e1f30,https://open.spotify.com/show/23eCrWfL15jpnbAhWgCoXv,Fix the Money - Bitcoin podcast,Niko Jilch ⚡️
https://i.scdn.co/image/ab67656300005f1f6864bed08dab13eee90f509b,https://open.spotify.com/show/2joSucOUfn21SRCevZXDY2,The Bitcoin Adviser,Jake Woodhouse
https://i.scdn.co/image/ab67656300005f1f02a5732113c8e85adaa368d1,https://open.spotify.com/show/4SHLsS4b5yQ1o4yunQM33W,Toca do Bitcoin,Dov Bitcoinheiro
https://i.scdn.co/image/ab67656300005f1fa51b0778b4f09e0c50b55c57,https://open.spotify.com/show/1ItjRQooNs7K2DFHpTBTFU,Bitcoin Block,Bitcoin Block
https://i.scdn.co/image/ab67656300005f1f524bfacb790f8a7f73a48aca,https://open.spotify.com/show/5VPdoFWhJ9TYljjq3puibu,Bitcoin Policy Institute,Bitcoin Policy Institute
